OBJECTID_1,FID_TL_201,ALAND10,AWATER10,CNTY2010,CT10,CT2010,GEODESC,ACRES,SQ_MILES,POP100,HU100,NHW,NHB,NHAI,NHA,NHNH,NHO,NHT,HISP,PNHW,PNHB,PNHAI,PNHA,PNHNH,PNHO,PNHT,PHISP,POP65_,PCTPOP65_,MEDAGE,VACNS,PVACNS,PHOWN,PWOMORT,PRENT,PLT18SP,CNTY20101,CT101,AREA,ACRES_1,SQMILES,PSQM,REPORT_2_P,REPORT_9_P,Shape_Length,Shape_Area
1,0,170616683,5541577,24029,950100,24029950100,9501.00,42392.60956,66.23845,3838,1796,3143,299,5,37,0,2,47,305,81.9,7.8,0.1,1,0,0.1,1.2,7.9,620,16.2,42.8,154,8.6,77.7,30.9,22.3,27.8,24029,950100,0,42392.60956,66.23845,57.94,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24029950100.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24029950100.pdf,138814.599164276,286960067.304156
2,1,279186393,29289092,24029,950200,24029950200,9502.00,69542.40176,108.66,4844,2640,3767,737,4,14,0,4,58,260,77.8,15.2,0.1,0.3,0,0.1,1.2,5.4,946,19.5,46.2,223,8.4,79,34,21,30.8,24029,950200,0,69542.40176,108.66,44.58,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24029950200.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24029950200.pdf,268980.601510484,470670948.572363
3,2,21445745,1762900,24029,950300,24029950300,9503.00,5332.7237,8.33238,5775,2574,4226,1085,5,95,1,9,107,247,73.2,18.8,0.1,1.6,0,0.2,1.9,4.3,1341,23.2,36.9,307,11.9,51.7,34.6,48.3,47,24029,950300,0,5332.7237,8.33238,693.08,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24029950300.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24029950300.pdf,47165.0312576083,36015891.304903
4,3,72736967,56708716,24029,950500,24029950500,9505.00,18197.97926,28.43434,2623,1770,2307,236,2,4,0,0,35,39,88,9,0.1,0.2,0,0,1.3,1.5,715,27.3,52.3,151,8.5,77.1,40.5,22.9,37,24029,950500,0,18197.97926,28.43434,92.25,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24029950500.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24029950500.pdf,225444.550100944,122541011.263301
5,4,173519483,33126235,24029,950400,24029950400,9504.00,43502.34671,67.97242,3117,1769,2340,646,7,7,2,3,56,56,75.1,20.7,0.2,0.2,0.1,0.1,1.8,1.8,775,24.9,50.9,154,8.7,78.3,39.7,21.7,38.1,24029,950400,0,43502.34671,67.97242,45.86,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24029950400.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24029950400.pdf,246617.820478437,293543840.701165
6,6,98191806,15974390,24017,850500,24017850500,8505.00,24337.52617,38.02738,2793,1113,2273,389,26,7,0,1,58,39,81.4,13.9,0.9,0.3,0,0,2.1,1.4,388,13.9,43.9,89,8,88.3,23.3,11.7,26.9,24017,850500,0,24337.52617,38.02738,73.45,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850500.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850500.pdf,119863.073311883,160972682.168348
7,7,60285332,17307,24017,850600,24017850600,8506.00,14900.03419,23.2813,4743,1704,2667,1656,29,165,3,2,104,117,56.2,34.9,0.6,3.5,0.1,0,2.2,2.5,518,10.9,39.7,103,6,92.9,17,7.1,18.4,24017,850600,0,14900.03419,23.2813,203.73,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850600.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850600.pdf,62526.8903444165,98742741.7052797
8,8,42640094,225588,24017,851002,24017851002,8510.02,10591.60815,16.54939,9244,3537,6265,2163,30,237,10,8,240,291,67.8,23.4,0.3,2.6,0.1,0.1,2.6,3.1,1211,13.1,39.6,181,5.1,75,17.5,25,31.9,24017,851002,0,10591.60815,16.54939,558.57,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017851002.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017851002.pdf,39790.3285853647,70165908.8722391
9,9,71655695,7178667,24017,851100,24017851100,8511.00,17713.57233,27.67746,2741,1070,2154,398,24,31,0,3,64,67,78.6,14.5,0.9,1.1,0,0.1,2.3,2.4,355,13,44,61,5.7,83.5,24.2,16.5,24.6,24017,851100,0,17713.57233,27.67746,99.03,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017851100.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017851100.pdf,63135.7488179511,117100081.125096
10,10,34111856,3466222,24017,850300,24017850300,8503.00,8444.6249,13.19473,1986,817,1150,705,19,14,0,2,58,38,57.9,35.5,1,0.7,0,0.1,2.9,1.9,295,14.9,44.1,70,8.6,82.8,26.7,17.2,29.2,24017,850300,0,8444.6249,13.19473,150.51,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1DP_2Profile_CT/24017850300.pdf,http://mdpgis.mdp.state.md.us/Census2010/PDF/00_SF1_9Profile_CT/24017850300.pdf,55350.0911152692,55963759.052421
